tick,block_id,erase_count,valid_pages,invalid_pages,retention_ticks,temp_c,rber,error_bits,uncorrectable
54,0,1,2,4,22,38,0.000029,0,0
54,1,1,5,1,16,43,0.000045,0,0
54,2,1,4,1,10,43,0.000044,0,0
54,3,1,0,0,3,41,0.000035,0,0
54,4,0,1,5,54,40,0.000037,0,0
54,5,0,3,3,54,40,0.000037,0,0
114,0,3,5,1,16,42,0.000046,0,0
114,1,3,1,0,4,39,0.000033,0,0
114,2,2,2,4,34,39,0.000035,0,0
114,3,2,2,4,28,42,0.000045,0,0
114,4,2,2,4,22,38,0.000030,0,0
114,5,2,3,3,10,42,0.000042,0,0
175,0,5,1,0,7,39,0.000037,0,0
175,1,4,2,4,44,41,0.000049,0,0
175,2,4,4,2,32,41,0.000047,0,0
175,3,4,4,2,19,38,0.000034,0,0
175,4,4,1,0,1,41,0.000042,0,0
175,5,4,3,3,13,40,0.000040,0,0
235,0,7,0,0,3,42,0.000054,0,0
235,1,6,2,4,19,43,0.000060,1,0
235,2,6,6,0,14,41,0.000049,0,0
235,3,6,4,1,9,39,0.000040,0,0
235,4,5,1,5,25,40,0.000044,1,0
235,5,5,2,4,48,39,0.000043,0,0
295,0,8,2,4,13,40,0.000049,0,0
295,1,8,1,0,1,40,0.000047,0,0
295,2,8,3,0,7,43,0.000064,0,0
295,3,7,3,3,25,42,0.000059,0,0
295,4,7,2,4,31,42,0.000060,0,0
295,5,7,4,2,19,40,0.000048,0,0
355,0,10,6,0,8,41,0.000058,0,0
355,1,10,0,0,3,39,0.000047,0,0
355,2,9,2,4,38,40,0.000056,0,0
355,3,9,2,4,32,39,0.000050,0,0
355,4,9,3,3,26,43,0.000072,0,0
355,5,8,2,4,14,42,0.000059,0,0
415,0,11,2,4,28,38,0.000049,0,0
415,1,11,1,5,40,39,0.000057,0,0
415,2,11,5,1,11,39,0.000051,0,0
415,3,11,4,1,5,40,0.000055,0,0
415,4,11,1,1,23,40,0.000059,0,0
415,5,10,2,4,17,38,0.000045,0,0
475,0,13,4,2,17,41,0.000069,0,0
475,1,13,2,4,23,40,0.000064,0,0
475,2,13,4,2,10,42,0.000074,0,0
475,3,13,1,0,5,41,0.000066,0,0
475,4,12,1,5,35,39,0.000058,0,0
475,5,11,3,3,29,38,0.000050,0,0
535,0,15,5,1,17,41,0.000076,0,0
535,1,15,1,0,5,39,0.000060,0,0
535,2,14,2,4,36,41,0.000078,0,0
535,3,14,1,5,30,41,0.000076,0,0
535,4,14,3,3,24,38,0.000056,0,0
535,5,13,3,3,11,38,0.000051,0,0
595,0,17,1,0,8,40,0.000072,0,0
595,1,16,2,4,27,40,0.000075,0,0
595,2,16,1,0,1,40,0.000068,0,0
595,3,16,5,1,21,43,0.000097,0,0
595,4,15,2,4,41,39,0.000068,0,0
595,5,15,4,2,15,42,0.000083,0,0
654,0,18,4,2,23,39,0.000073,1,0
654,1,18,4,2,10,42,0.000092,0,0
654,2,18,1,0,4,38,0.000061,0,0
654,3,17,2,4,41,41,0.000090,0,0
654,4,17,3,3,29,38,0.000065,0,0
654,5,16,1,5,17,39,0.000065,0,0
714,0,20,4,2,11,40,0.000083,0,0
714,1,20,1,0,5,42,0.000098,0,0
714,2,19,2,4,30,40,0.000085,0,0
714,3,19,4,2,16,42,0.000098,0,0
714,4,18,2,4,42,42,0.000104,0,0
714,5,18,2,4,23,38,0.000066,0,0
774,0,22,2,1,22,40,0.000093,0,0
774,1,21,4,2,34,38,0.000078,0,0
774,2,21,4,0,4,42,0.000102,0,0
774,3,21,3,3,11,40,0.000086,0,0
774,4,20,1,5,17,41,0.000093,0,0
774,5,19,1,5,28,43,0.000113,0,0
835,0,23,3,3,36,40,0.000102,0,0
835,1,23,2,0,2,42,0.000109,0,0
835,2,23,4,2,12,39,0.000085,0,0
835,3,22,3,3,42,39,0.000091,0,0
835,4,23,2,0,7,40,0.000092,0,0
835,5,21,1,5,25,42,0.000110,0,0
895,0,25,5,1,14,43,0.000135,0,0
895,1,24,2,4,37,40,0.000107,0,0
895,2,25,2,0,8,39,0.000090,0,0
895,3,23,2,4,32,40,0.000101,0,0
895,4,24,3,3,26,43,0.000136,0,0
895,5,24,1,0,1,38,0.000077,0,0
955,0,27,4,0,6,38,0.000088,0,0
955,1,27,0,0,1,39,0.000094,0,0
955,2,26,2,4,25,42,0.000133,0,0
955,3,24,2,4,38,43,0.000142,0,0
955,4,26,4,2,19,43,0.000143,0,0
955,5,25,3,3,12,40,0.000101,0,0
1015,0,29,0,0,3,40,0.000112,0,0
1015,1,28,2,4,38,38,0.000102,0,0
1015,2,28,5,1,14,43,0.000151,0,0
1015,3,26,2,4,21,38,0.000089,0,0
1015,4,28,4,1,9,40,0.000111,0,0
1015,5,26,2,4,28,41,0.000122,0,0
1075,0,30,4,2,21,43,0.000166,0,0
1075,1,30,4,2,9,38,0.000098,0,0
1075,2,30,2,0,15,40,0.000122,0,0
1075,3,29,2,1,3,39,0.000102,0,0
1075,4,29,2,4,45,42,0.000159,0,0
1075,5,27,1,5,33,42,0.000142,0,0
1135,0,32,5,1,16,41,0.000144,0,0
1135,1,32,0,0,4,40,0.000125,0,0
1135,2,31,3,3,10,40,0.000124,0,0
1135,3,30,2,4,22,39,0.000114,0,0
1135,4,31,2,4,34,38,0.000112,0,0
1135,5,29,3,3,28,40,0.000124,0,0
1195,0,33,2,4,23,43,0.000185,0,0
1195,1,34,1,0,5,43,0.000178,0,0
1195,2,33,2,4,29,40,0.000142,0,0
1195,3,32,5,1,11,38,0.000106,0,0
1195,4,33,4,2,17,41,0.000149,0,0
1195,5,30,1,5,41,38,0.000111,0,0
1255,0,35,4,2,18,39,0.000132,0,0
1255,1,35,4,2,30,38,0.000126,1,0
1255,2,35,1,0,5,40,0.000138,0,0
1255,3,34,4,2,11,38,0.000113,0,0
1255,4,34,1,5,24,41,0.000158,0,0
1255,5,32,1,5,36,38,0.000116,0,0
1316,0,37,3,0,7,41,0.000163,0,0
1316,1,36,3,3,19,42,0.000182,0,0
1316,2,37,0,0,1,40,0.000145,0,0
1316,3,36,5,1,13,43,0.000196,0,0
1316,4,36,3,3,25,38,0.000127,0,0
1316,5,34,1,5,31,39,0.000134,0,0
1376,0,39,0,0,2,41,0.000170,0,0
1376,1,38,4,2,19,41,0.000176,0,0
1376,2,38,5,1,14,43,0.000209,0,0
1376,3,38,3,1,8,42,0.000186,0,0
1376,4,37,1,5,32,38,0.000135,0,0
1376,5,36,2,4,26,40,0.000155,0,0
1436,0,40,3,3,21,40,0.000172,0,0
1436,1,40,4,2,27,39,0.000160,0,0
1436,2,40,3,1,15,42,0.000203,0,0
1436,3,39,2,4,39,43,0.000237,0,0
1436,4,40,0,0,3,40,0.000160,0,0
1436,5,37,3,3,9,42,0.000181,0,0
1496,0,42,2,4,21,41,0.000200,0,0
1496,1,42,3,0,3,39,0.000155,0,0
1496,2,42,1,1,9,43,0.000232,0,0
1496,3,41,2,4,28,38,0.000150,0,0
1496,4,41,4,2,15,42,0.000209,0,0
1496,5,38,3,3,45,43,0.000235,0,0
1556,0,44,3,3,24,39,0.000177,0,0
1556,1,43,2,4,35,43,0.000263,0,0
1556,2,44,1,0,11,38,0.000154,0,0
1556,3,42,0,6,47,40,0.000200,0,0
1556,4,43,5,0,5,39,0.000160,0,0
1556,5,40,4,2,18,43,0.000226,0,0
1617,0,46,4,2,18,38,0.000167,0,0
1617,1,46,4,1,7,39,0.000176,0,0
1617,2,46,0,0,2,40,0.000190,0,0
1617,3,44,4,2,12,41,0.000205,1,0
1617,4,44,2,4,30,41,0.000220,0,0
1617,5,41,1,5,36,38,0.000154,0,0
1677,0,48,2,0,22,40,0.000217,0,0
1677,1,47,2,4,34,40,0.000220,0,0
1677,2,47,4,2,9,39,0.000182,0,0
1677,3,46,2,4,16,40,0.000200,0,0
1677,4,46,3,0,3,38,0.000158,0,0
1677,5,43,2,4,28,41,0.000212,0,0
1737,0,49,3,3,20,38,0.000183,0,0
1737,1,49,3,1,14,38,0.000179,1,0
1737,2,48,1,5,38,39,0.000209,1,0
1737,3,49,0,0,2,43,0.000274,0,0
1737,4,47,5,1,8,39,0.000182,0,0
1737,5,45,3,3,26,41,0.000223,0,0
1797,0,51,2,0,8,43,0.000296,0,0
1797,1,50,3,3,39,40,0.000243,0,0
1797,2,50,1,5,26,39,0.000211,0,0
1797,3,50,4,2,14,38,0.000183,0,0
1797,4,49,2,0,2,43,0.000274,0,0
1797,5,47,3,3,20,41,0.000230,0,0
1857,0,53,0,2,12,41,0.000262,0,0
1857,1,52,5,1,7,43,0.000303,0,0
1857,2,52,4,2,18,38,0.000196,0,0
1857,3,51,2,4,37,42,0.000300,0,0
1857,4,50,3,3,24,40,0.000230,0,0
1857,5,49,1,0,1,39,0.000187,0,0
1917,0,54,4,2,11,43,0.000324,0,0
1917,1,54,2,1,6,40,0.000239,0,0
1917,2,53,3,3,49,42,0.000330,0,0
1917,3,53,3,3,17,43,0.000323,0,0
1917,4,53,1,0,1,38,0.000189,0,0
1917,5,50,2,4,30,43,0.000313,0,0
1977,0,56,4,2,24,40,0.000269,0,0
1977,1,56,1,1,12,41,0.000283,0,0
1977,2,55,4,1,5,38,0.000202,0,0
1977,3,54,0,6,36,42,0.000323,0,0
1977,4,54,1,5,30,40,0.000261,0,0
1977,5,52,5,1,18,43,0.000316,0,0
2037,0,58,0,2,17,42,0.000333,0,0
2037,1,57,2,4,33,38,0.000236,0,0
2037,2,56,2,4,28,43,0.000363,0,0
2037,3,56,5,1,11,39,0.000233,0,0
2037,4,56,3,3,23,43,0.000357,0,0
2037,5,54,3,2,5,42,0.000288,0,0
2098,0,59,3,3,43,39,0.000282,0,0
2098,1,59,5,1,12,40,0.000277,0,0
2098,2,59,2,0,7,40,0.000271,0,0
2098,3,57,3,3,24,41,0.000303,0,0
2098,4,58,1,5,18,38,0.000228,0,0
2098,5,56,1,0,1,41,0.000271,0,0
2158,0,60,3,3,37,39,0.000283,0,0
2158,1,61,0,0,2,41,0.000307,1,0
2158,2,60,2,4,32,43,0.000407,0,0
2158,3,59,4,2,19,42,0.000344,0,0
2158,4,60,3,1,13,43,0.000379,0,0
2158,5,58,3,3,8,40,0.000266,0,0
2218,0,62,3,3,14,42,0.000363,0,0
2218,1,62,4,2,26,42,0.000379,0,0
2218,2,62,1,1,9,39,0.000267,0,0
2218,3,61,2,4,20,43,0.000398,0,0
2218,4,61,2,4,32,40,0.000313,0,0
2218,5,60,3,0,3,38,0.000226,1,0
2279,0,64,2,4,31,41,0.000368,0,0
2279,1,64,4,0,21,42,0.000390,0,0
2279,2,64,0,0,2,38,0.000248,0,0
2279,3,62,1,5,58,40,0.000351,0,0
2279,4,63,4,2,15,39,0.000280,0,0
2279,5,62,4,2,8,43,0.000390,0,0
2339,0,66,3,3,15,38,0.000273,1,0
2339,1,66,1,0,10,42,0.000392,0,0
2339,2,65,3,3,38,38,0.000290,1,0
2339,3,64,2,4,27,41,0.000363,1,0
2339,4,65,3,0,3,41,0.000339,0,0
2339,5,63,3,3,21,40,0.000315,0,0
2398,0,67,2,4,30,40,0.000357,0,0
2398,1,67,4,1,18,40,0.000341,0,0
2398,2,67,0,0,4,39,0.000294,0,0
2398,3,66,5,1,11,39,0.000295,0,0
2398,4,66,1,5,36,41,0.000392,0,0
2398,5,65,3,3,24,41,0.000367,0,0
2458,0,69,4,2,10,38,0.000286,0,0
2458,1,69,0,0,4,38,0.000279,0,0
2458,2,68,1,5,39,40,0.000377,0,0
2458,3,67,2,4,22,40,0.000346,0,0
2458,4,68,5,1,16,42,0.000419,0,0
2458,5,67,3,3,28,42,0.000429,0,0
2519,0,71,1,1,7,38,0.000295,0,0
2519,1,70,3,3,23,38,0.000307,0,0
2519,2,70,5,1,17,40,0.000363,0,0
2519,3,70,4,2,12,39,0.000324,1,0
2519,4,70,1,0,1,39,0.000310,1,0
2519,5,68,1,5,30,40,0.000365,0,0
2579,0,72,4,2,26,39,0.000357,1,0
2579,1,72,6,0,8,39,0.000333,0,0
2579,2,72,1,2,14,38,0.000310,0,0
2579,3,72,0,0,2,39,0.000325,1,0
2579,4,71,2,4,32,41,0.000432,0,0
2579,5,70,2,4,20,38,0.000304,0,0
2639,0,74,1,0,1,38,0.000307,0,0
2639,1,74,2,1,12,43,0.000517,0,0
2639,2,73,2,4,30,41,0.000447,0,0
2639,3,73,1,5,24,41,0.000438,0,0
2639,4,73,6,0,7,39,0.000339,0,0
2639,5,72,3,3,18,40,0.000381,0,0
2699,0,76,0,0,3,40,0.000391,0,0
2699,1,75,3,3,27,39,0.000381,0,0
2699,2,75,2,4,21,43,0.000546,0,0
2699,3,74,2,4,50,38,0.000368,1,0
2699,4,75,5,1,15,41,0.000441,0,0
2699,5,74,3,3,9,40,0.000384,0,0
2759,0,77,3,3,27,39,0.000398,0,0
2759,1,77,5,1,20,43,0.000567,0,0
2759,2,77,1,0,7,40,0.000405,0,0
2759,3,76,1,0,1,39,0.000353,0,0
2759,4,76,2,4,33,38,0.000362,0,0
