tick,block_id,erase_count,valid_pages,invalid_pages,retention_ticks,temp_c,rber,error_bits,uncorrectable
54,0,1,4,2,15,42,0.000041,0,0
54,1,1,6,0,22,38,0.000029,0,0
54,2,1,1,0,1,39,0.000029,0,0
54,3,1,1,0,8,38,0.000027,0,0
54,4,0,1,5,54,40,0.000037,0,0
54,5,0,2,4,54,40,0.000037,0,0
113,0,3,5,1,12,40,0.000037,0,0
113,1,3,1,0,5,41,0.000040,0,0
113,2,2,2,4,30,43,0.000050,0,0
113,3,2,1,5,24,43,0.000049,0,0
113,4,2,5,1,18,40,0.000036,0,0
113,5,1,1,5,47,38,0.000031,0,0
173,0,4,2,4,35,42,0.000052,0,0
173,1,4,2,4,24,43,0.000055,0,0
173,2,4,5,1,11,39,0.000036,0,0
173,3,4,2,4,30,39,0.000038,0,0
173,4,4,0,2,17,40,0.000040,0,0
173,5,3,4,0,4,39,0.000033,0,0
233,0,6,3,3,10,39,0.000040,0,0
233,1,6,4,2,23,42,0.000055,0,0
233,2,6,1,0,4,41,0.000047,0,0
233,3,5,2,4,35,40,0.000045,0,0
233,4,5,2,4,29,39,0.000040,0,0
233,5,5,3,3,16,43,0.000056,0,0
293,0,8,4,2,23,42,0.000061,0,0
293,1,8,1,0,5,40,0.000047,0,0
293,2,7,2,4,17,42,0.000057,0,0
293,3,7,4,2,30,38,0.000041,0,0
293,4,7,4,2,11,43,0.000061,0,0
293,5,6,0,6,36,40,0.000048,0,0
353,0,9,1,5,46,38,0.000048,0,0
353,1,9,2,4,26,40,0.000054,0,0
353,2,9,4,2,21,40,0.000053,0,0
353,3,8,5,1,15,40,0.000049,0,0
353,4,9,3,0,8,42,0.000061,0,0
353,5,9,0,0,1,43,0.000065,0,0
413,0,11,3,3,13,43,0.000075,0,0
413,1,11,5,1,19,40,0.000058,0,0
413,2,11,2,0,7,41,0.000061,0,0
413,3,10,1,0,1,42,0.000062,0,0
413,4,10,1,5,31,40,0.000058,0,0
413,5,10,3,3,25,39,0.000051,0,0
473,0,13,3,3,18,42,0.000076,0,0
473,1,13,4,0,6,39,0.000055,0,0
473,2,13,0,0,1,40,0.000059,0,0
473,3,11,2,4,31,43,0.000080,0,0
473,4,12,4,2,12,43,0.000079,0,0
473,5,11,2,4,49,41,0.000071,0,0
533,0,15,3,3,13,41,0.000075,0,0
533,1,15,3,0,7,43,0.000088,0,0
533,2,14,3,3,19,39,0.000060,0,0
533,3,13,2,0,2,41,0.000065,0,0
533,4,13,2,4,37,41,0.000075,0,0
533,5,13,2,4,31,39,0.000060,0,0
593,0,16,3,3,45,41,0.000088,0,0
593,1,16,2,4,40,41,0.000086,0,0
593,2,16,3,1,22,42,0.000089,0,0
593,3,14,2,4,16,42,0.000079,0,0
593,4,15,5,1,9,43,0.000089,1,0
593,5,16,0,0,2,40,0.000068,0,0
652,0,18,3,3,23,39,0.000073,0,0
652,1,18,0,0,4,39,0.000068,0,0
652,2,17,3,3,16,40,0.000075,0,0
652,3,16,3,3,11,43,0.000093,0,0
652,4,16,2,4,36,40,0.000077,0,0
652,5,17,4,2,29,42,0.000095,0,0
713,0,20,3,3,20,42,0.000104,0,0
713,1,20,0,0,3,40,0.000080,0,0
713,2,18,1,5,48,38,0.000072,0,0
713,3,18,3,3,15,43,0.000103,0,0
713,4,18,2,4,26,40,0.000081,0,0
713,5,19,6,0,9,41,0.000087,0,0
773,0,22,0,0,2,41,0.000095,0,0
773,1,21,2,2,27,39,0.000083,0,0
773,2,20,3,3,20,41,0.000094,0,0
773,3,20,4,2,15,40,0.000084,0,0
773,4,20,5,1,9,38,0.000068,0,0
773,5,20,1,5,39,40,0.000092,1,0
833,0,23,2,0,2,40,0.000090,0,0
833,1,23,1,1,20,41,0.000106,0,0
833,2,22,5,1,8,42,0.000107,0,0
833,3,22,2,4,26,40,0.000095,0,0
833,4,21,2,4,32,40,0.000093,0,0
833,5,22,3,3,14,42,0.000110,0,0
894,0,25,0,0,1,40,0.000097,0,0
894,1,24,2,4,40,39,0.000098,0,0
894,2,24,3,3,23,40,0.000101,0,0
894,3,24,5,1,12,41,0.000107,0,0
894,4,23,3,3,18,40,0.000096,0,0
894,5,24,2,1,7,43,0.000127,0,0
954,0,27,2,0,10,42,0.000130,0,0
954,1,26,2,4,33,40,0.000113,0,0
954,2,26,3,1,4,42,0.000123,0,0
954,3,26,3,3,22,42,0.000131,0,0
954,4,24,3,3,28,40,0.000103,0,0
954,5,25,2,4,16,41,0.000113,0,0
1015,0,29,0,0,1,43,0.000148,0,0
1015,1,28,2,4,37,38,0.000102,0,0
1015,2,28,3,3,24,38,0.000097,0,0
1015,3,28,3,0,8,38,0.000091,0,0
1015,4,25,3,3,19,43,0.000138,0,0
1015,5,27,4,2,14,41,0.000120,0,0
1074,0,30,5,1,16,40,0.000122,0,0
1074,1,30,1,0,4,43,0.000155,1,0
1074,2,29,1,5,36,42,0.000154,0,0
1074,3,29,2,4,29,39,0.000113,0,0
1074,4,27,3,3,22,38,0.000093,0,0
1074,5,29,3,3,10,39,0.000105,0,0
1134,0,32,2,1,13,43,0.000172,0,0
1134,1,31,2,4,34,39,0.000123,0,0
1134,2,31,2,4,20,39,0.000117,0,0
1134,3,31,5,0,8,41,0.000135,0,0
1134,4,29,3,0,3,39,0.000102,1,0
1134,5,30,1,5,47,41,0.000151,0,0
1195,0,34,2,4,13,41,0.000152,0,0
1195,1,34,3,0,8,39,0.000123,0,0
1195,2,33,3,3,19,38,0.000113,0,0
1195,3,32,2,4,35,39,0.000128,0,0
1195,4,31,3,0,3,39,0.000109,0,0
1195,5,31,2,4,58,43,0.000196,0,0
1256,0,36,4,2,31,38,0.000130,0,0
1256,1,36,1,1,7,43,0.000192,0,0
1256,2,35,5,1,13,39,0.000130,0,0
1256,3,35,1,0,1,42,0.000165,0,0
1256,4,32,1,5,25,39,0.000123,0,0
1256,5,32,3,3,37,38,0.000117,0,0
1316,0,38,2,0,9,42,0.000187,0,0
1316,1,37,3,3,33,39,0.000149,1,0
1316,2,37,2,1,3,38,0.000121,0,0
1316,3,36,4,2,28,43,0.000207,0,0
1316,4,34,2,4,22,38,0.000118,0,0
1316,5,34,2,4,16,41,0.000154,0,0
1376,0,39,1,5,27,42,0.000206,0,0
1376,1,39,1,1,15,43,0.000217,0,0
1376,2,38,2,4,21,43,0.000215,0,0
1376,3,38,5,1,10,40,0.000155,0,0
1376,4,36,4,0,4,43,0.000189,0,0
1376,5,36,2,4,33,41,0.000175,0,0
1436,0,41,2,4,16,40,0.000174,0,0
