tick,block_id,erase_count,valid_pages,invalid_pages,retention_ticks,temp_c,rber,error_bits,uncorrectable,error_bits_rolling_mean,rber_rolling_mean,error_bits_slope,rber_slope,garbage_ratio,cycles_until_failure,rul_censored
54,0,1,4,2,15,42,4.1e-05,0,0,0.0,4.1e-05,0.0,0.0,0.33333333327777775,154.0,0
113,0,3,5,1,12,40,3.7e-05,0,0,0.0,3.9e-05,0.0,-4.000000000000002e-06,0.16666666663888888,152.0,0
173,0,4,2,4,35,42,5.2e-05,0,0,0.0,4.333333333333333e-05,0.0,1.4999999999999999e-05,0.6666666665555555,151.0,0
233,0,6,3,3,10,39,4e-05,0,0,0.0,4.2999999999999995e-05,0.0,-1.1999999999999994e-05,0.49999999991666666,149.0,0
293,0,8,4,2,23,42,6.1e-05,0,0,0.0,5.1e-05,0.0,2.0999999999999995e-05,0.33333333327777775,147.0,0
353,0,9,1,5,46,38,4.8e-05,0,0,0.0,4.966666666666667e-05,0.0,-1.2999999999999998e-05,0.8333333331944445,146.0,0
413,0,11,3,3,13,43,7.5e-05,0,0,0.0,6.133333333333332e-05,0.0,2.6999999999999992e-05,0.49999999991666666,144.0,0
473,0,13,3,3,18,42,7.6e-05,0,0,0.0,6.633333333333334e-05,0.0,1.0000000000000108e-06,0.49999999991666666,142.0,0
533,0,15,3,3,13,41,7.5e-05,0,0,0.0,7.533333333333333e-05,0.0,-1.0000000000000108e-06,0.49999999991666666,140.0,0
593,0,16,3,3,45,41,8.8e-05,0,0,0.0,7.966666666666666e-05,0.0,1.3000000000000004e-05,0.49999999991666666,139.0,0
652,0,18,3,3,23,39,7.3e-05,0,0,0.0,7.866666666666666e-05,0.0,-1.4999999999999999e-05,0.49999999991666666,137.0,0
713,0,20,3,3,20,42,0.000104,0,0,0.0,8.833333333333333e-05,0.0,3.0999999999999995e-05,0.49999999991666666,135.0,0
773,0,22,0,0,2,41,9.5e-05,0,0,0.0,9.066666666666667e-05,0.0,-8.999999999999988e-06,0.0,133.0,0
833,0,23,2,0,2,40,9e-05,0,0,0.0,9.633333333333332e-05,0.0,-4.9999999999999996e-06,0.0,132.0,0
894,0,25,0,0,1,40,9.7e-05,0,0,0.0,9.400000000000001e-05,0.0,6.999999999999994e-06,0.0,130.0,0
954,0,27,2,0,10,42,0.00013,0,0,0.0,0.00010566666666666666,0.0,3.299999999999999e-05,0.0,128.0,0
1015,0,29,0,0,1,43,0.000148,0,0,0.0,0.00012499999999999998,0.0,1.8000000000000004e-05,0.0,126.0,0
1074,0,30,5,1,16,40,0.000122,0,0,0.0,0.0001333333333333333,0.0,-2.5999999999999995e-05,0.16666666663888888,125.0,0
1134,0,32,2,1,13,43,0.000172,0,0,0.0,0.00014733333333333333,0.0,5.000000000000001e-05,0.3333333332222222,123.0,0
1195,0,34,2,4,13,41,0.000152,0,0,0.0,0.00014866666666666666,0.0,-1.9999999999999998e-05,0.6666666665555555,121.0,0
1256,0,36,4,2,31,38,0.00013,0,0,0.0,0.00015133333333333332,0.0,-2.200000000000002e-05,0.33333333327777775,119.0,0
1316,0,38,2,0,9,42,0.000187,0,0,0.0,0.0001563333333333333,0.0,5.7e-05,0.0,117.0,0
1376,0,39,1,5,27,42,0.000206,0,0,0.0,0.0001743333333333333,0.0,1.9e-05,0.8333333331944445,116.0,0
1436,0,41,2,4,16,40,0.000174,0,0,0.0,0.00018899999999999996,0.0,-3.199999999999999e-05,0.6666666665555555,114.0,0
1497,0,43,1,2,25,40,0.00019,0,0,0.0,0.00018999999999999998,0.0,1.600000000000001e-05,0.6666666664444444,112.0,0
1558,0,45,5,1,15,41,0.000214,0,0,0.0,0.00019266666666666664,0.0,2.3999999999999987e-05,0.16666666663888888,110.0,0
1618,0,46,1,5,34,40,0.000214,0,0,0.0,0.000206,0.0,0.0,0.8333333331944445,109.0,0
1678,0,48,4,2,23,38,0.00018,0,0,0.0,0.00020266666666666664,0.0,-3.3999999999999986e-05,0.33333333327777775,107.0,0
1738,0,50,4,1,14,42,0.000268,0,0,0.0,0.00022066666666666665,0.0,8.8e-05,0.19999999996,105.0,0
1798,0,51,3,3,44,42,0.000308,0,0,0.0,0.000252,0.0,3.9999999999999996e-05,0.49999999991666666,104.0,0
1858,0,53,1,5,16,39,0.00022,0,0,0.0,0.0002653333333333333,0.0,-8.8e-05,0.8333333331944445,102.0,0
1919,0,54,3,3,60,41,0.000319,0,0,0.0,0.0002823333333333333,0.0,9.9e-05,0.49999999991666666,101.0,0
1979,0,56,3,0,3,39,0.000226,0,0,0.0,0.00025499999999999996,0.0,-9.300000000000001e-05,0.0,99.0,0
2039,0,58,5,0,12,43,0.00036,0,0,0.0,0.0003016666666666666,0.0,0.00013400000000000003,0.0,97.0,0
2100,0,59,2,4,26,43,0.000388,0,0,0.0,0.0003246666666666666,0.0,2.7999999999999976e-05,0.6666666665555555,96.0,0
2160,0,61,3,3,38,43,0.000425,0,0,0.0,0.000391,0.0,3.699999999999998e-05,0.49999999991666666,94.0,0
2221,0,64,2,0,9,40,0.000308,0,0,0.0,0.0003736666666666666,0.0,-0.00011699999999999997,0.0,91.0,0
2282,0,65,2,4,35,38,0.000287,0,0,0.0,0.00033999999999999997,0.0,-2.1000000000000023e-05,0.6666666665555555,90.0,0
2342,0,67,2,1,26,38,0.000291,0,0,0.0,0.00029533333333333327,0.0,4.000000000000043e-06,0.3333333332222222,88.0,0
2402,0,68,2,4,44,42,0.000464,0,0,0.0,0.00034733333333333334,0.0,0.00017299999999999998,0.6666666665555555,87.0,0
2462,0,70,2,4,36,43,0.000519,0,0,0.0,0.00042466666666666667,0.0,5.5000000000000036e-05,0.6666666665555555,85.0,0
2523,0,72,2,4,32,43,0.000534,0,0,0.0,0.0005056666666666666,0.0,1.4999999999999931e-05,0.6666666665555555,83.0,0
2584,0,74,4,2,17,40,0.000396,0,0,0.0,0.0004829999999999999,0.0,-0.000138,0.33333333327777775,81.0,0
2643,0,76,1,1,11,40,0.000403,0,0,0.0,0.00044433333333333326,0.0,7.0000000000000075e-06,0.49999999975,79.0,0
2704,0,78,2,0,8,43,0.000553,0,0,0.0,0.00045066666666666665,0.0,0.00015000000000000001,0.0,77.0,0
2764,0,80,0,0,3,41,0.000466,0,0,0.0,0.000474,0.0,-8.7e-05,0.0,75.0,0
2824,0,81,4,0,4,43,0.000578,0,0,0.0,0.0005323333333333333,0.0,0.00011199999999999996,0.0,74.0,0
2885,0,83,3,3,23,42,0.000588,0,0,0.0,0.0005439999999999999,0.0,1.0000000000000026e-05,0.49999999991666666,72.0,0
2945,0,85,3,2,22,39,0.000457,0,0,0.0,0.0005409999999999999,0.0,-0.00013099999999999999,0.39999999992,70.0,0
3005,0,87,4,2,28,38,0.000442,0,0,0.0,0.0004956666666666666,0.0,-1.4999999999999985e-05,0.33333333327777775,68.0,0
3066,0,89,4,0,18,42,0.000647,0,0,0.0,0.0005153333333333332,0.0,0.000205,0.0,66.0,0
3126,0,91,0,0,1,38,0.000429,1,0,0.3333333333333333,0.0005059999999999999,1.0,-0.00021799999999999999,0.0,64.0,0
3186,0,92,3,3,38,40,0.000608,0,0,0.3333333333333333,0.0005613333333333333,-1.0,0.00017900000000000001,0.49999999991666666,63.0,0
3246,0,93,2,4,44,43,0.000841,0,0,0.3333333333333333,0.0006259999999999999,0.0,0.00023299999999999992,0.6666666665555555,62.0,0
3307,0,95,1,4,27,42,0.000746,0,0,0.0,0.0007316666666666666,0.0,-9.499999999999992e-05,0.79999999984,60.0,0
3367,0,97,5,1,11,41,0.000661,0,0,0.0,0.0007493333333333332,0.0,-8.5e-05,0.16666666663888888,58.0,0
3427,0,99,0,0,3,41,0.000664,0,0,0.0,0.0006903333333333333,0.0,2.9999999999999645e-06,0.0,56.0,0
3488,0,100,2,4,29,38,0.00056,0,0,0.0,0.0006283333333333333,0.0,-0.00010400000000000003,0.6666666665555555,55.0,0
3548,0,102,4,1,19,38,0.000558,0,0,0.0,0.0005939999999999999,0.0,-1.99999999999994e-06,0.19999999996,53.0,0
3608,0,104,0,0,3,39,0.000597,0,0,0.0,0.0005716666666666666,0.0,3.899999999999997e-05,0.0,51.0,0
3668,0,105,4,2,26,41,0.000802,0,0,0.0,0.0006523333333333332,0.0,0.000205,0.33333333327777775,50.0,0
3728,0,106,3,3,39,43,0.001034,0,0,0.0,0.000811,0.0,0.000232,0.49999999991666666,49.0,0
3787,0,108,2,4,22,43,0.001004,0,0,0.0,0.0009466666666666665,0.0,-3.000000000000008e-05,0.6666666665555555,47.0,0
3848,0,110,2,4,32,39,0.000735,0,0,0.0,0.0009243333333333333,0.0,-0.0002689999999999999,0.6666666665555555,45.0,0
3908,0,112,4,0,4,39,0.000683,1,0,0.3333333333333333,0.0008073333333333332,1.0,-5.199999999999996e-05,0.0,43.0,0
3969,0,113,3,3,23,41,0.000902,0,0,0.3333333333333333,0.0007733333333333333,-1.0,0.000219,0.49999999991666666,42.0,0
4029,0,115,4,2,20,41,0.00092,1,0,0.6666666666666666,0.0008349999999999999,1.0,1.8000000000000004e-05,0.33333333327777775,40.0,0
4088,0,116,2,4,42,43,0.001225,0,0,0.3333333333333333,0.0010156666666666667,-1.0,0.00030499999999999993,0.6666666665555555,39.0,0
4148,0,118,2,4,21,42,0.001064,0,0,0.3333333333333333,0.0010696666666666667,0.0,-0.0001609999999999999,0.6666666665555555,37.0,0
4209,0,121,0,0,3,42,0.001039,0,0,0.0,0.0011093333333333335,0.0,-2.5000000000000066e-05,0.0,34.0,0
4269,0,122,3,3,33,40,0.000976,1,0,0.3333333333333333,0.0010263333333333333,1.0,-6.300000000000001e-05,0.49999999991666666,33.0,0
4329,0,124,1,2,15,41,0.001034,0,0,0.3333333333333333,0.0010163333333333333,-1.0,5.8e-05,0.6666666664444444,31.0,0
4390,0,125,3,3,20,38,0.000804,0,0,0.3333333333333333,0.0009379999999999999,0.0,-0.00022999999999999995,0.49999999991666666,30.0,0
4450,0,126,3,3,57,42,0.001361,0,0,0.0,0.0010663333333333332,0.0,0.000557,0.49999999991666666,29.0,0
4510,0,128,3,0,3,41,0.001046,0,0,0.0,0.001070333333333333,0.0,-0.00031499999999999996,0.0,27.0,0
4570,0,130,5,0,5,42,0.001193,0,0,0.0,0.0012,0.0,0.000147,0.0,25.0,0
4631,0,133,0,0,3,41,0.001122,0,0,0.0,0.0011203333333333332,0.0,-7.10000000000001e-05,0.0,22.0,0
4691,0,134,0,2,23,42,0.001351,0,0,0.0,0.0012219999999999998,0.0,0.00022900000000000004,0.9999999995,21.0,0
4751,0,135,2,4,35,41,0.001301,0,0,0.0,0.0012579999999999998,0.0,-4.9999999999999914e-05,0.6666666665555555,20.0,0
4812,0,138,0,0,3,43,0.001454,0,0,0.0,0.0013686666666666665,0.0,0.00015299999999999992,0.0,17.0,0
4872,0,139,2,4,22,38,0.000984,0,0,0.0,0.0012463333333333335,0.0,-0.00046999999999999993,0.6666666665555555,16.0,0
4932,0,140,1,5,53,39,0.001225,0,0,0.0,0.0012209999999999999,0.0,0.0002409999999999999,0.8333333331944445,15.0,0
4992,0,142,3,2,21,42,0.001494,0,0,0.0,0.0012343333333333332,0.0,0.00026900000000000014,0.39999999992,13.0,0
5053,0,144,2,1,25,41,0.001415,1,0,0.3333333333333333,0.0013779999999999999,1.0,-7.900000000000008e-05,0.3333333332222222,11.0,0
5113,0,146,0,0,1,42,0.001457,0,0,0.3333333333333333,0.001455333333333333,-1.0,4.199999999999994e-05,0.0,9.0,0
5173,0,147,3,2,28,39,0.001229,0,0,0.3333333333333333,0.001367,0.0,-0.0002279999999999999,0.39999999992,8.0,0
5233,0,149,4,2,20,39,0.001224,0,0,0.0,0.0013033333333333332,0.0,-5.000000000000013e-06,0.33333333327777775,6.0,0
5293,0,150,3,3,20,40,0.001364,0,0,0.0,0.001272333333333333,0.0,0.00013999999999999993,0.49999999991666666,5.0,0
5353,0,152,2,0,16,40,0.001378,0,0,0.0,0.0013219999999999996,0.0,1.4000000000000123e-05,0.0,3.0,0
5413,0,153,2,4,34,43,0.001984,0,0,0.0,0.001575333333333333,0.0,0.000606,0.6666666665555555,2.0,0
5473,0,155,3,3,22,41,0.001609,2,1,0.6666666666666666,0.0016569999999999998,2.0,-0.0003750000000000001,0.49999999991666666,0.0,0
5533,0,157,4,2,16,43,0.001951,0,0,0.6666666666666666,0.0018479999999999998,-2.0,0.0003420000000000001,0.33333333327777775,,1
5593,0,159,0,2,22,42,0.001858,0,0,0.6666666666666666,0.0018059999999999997,0.0,-9.299999999999998e-05,0.9999999995,,1
5654,0,160,3,3,38,39,0.001498,0,0,0.0,0.0017689999999999997,0.0,-0.0003600000000000001,0.49999999991666666,,1
5714,0,162,4,2,10,42,0.00184,1,0,0.3333333333333333,0.001732,1.0,0.0003420000000000001,0.33333333327777775,,1
5774,0,163,2,4,36,43,0.002256,0,0,0.3333333333333333,0.0018646666666666666,-1.0,0.00041600000000000014,0.6666666665555555,,1
5835,0,166,2,1,14,39,0.001472,0,0,0.3333333333333333,0.001856,0.0,-0.0007840000000000002,0.3333333332222222,,1
5896,0,168,2,0,8,40,0.001619,0,0,0.0,0.0017823333333333335,0.0,0.000147,0.0,,1
5957,0,169,5,1,11,41,0.001823,0,0,0.0,0.001638,0.0,0.00020399999999999997,0.16666666663888888,,1
6016,0,171,3,1,4,43,0.002196,0,0,0.0,0.0018793333333333333,0.0,0.00037300000000000007,0.2499999999375,,1
6076,0,173,3,3,22,40,0.001808,1,0,0.3333333333333333,0.0019423333333333332,1.0,-0.0003880000000000001,0.49999999991666666,,1
6137,0,175,1,5,27,43,0.002507,1,0,0.6666666666666666,0.0021703333333333336,0.0,0.0006990000000000002,0.8333333331944445,,1
